Checked 84 files

[FAIL] 62 violations found:
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\EVAL_GUIDE.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\FEATURES.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\FEATURES_300.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\FETCH_POLICY.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\GITHUB_ACTIONS_GUIDE.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\GOLDEN_PATH.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\INSTALL.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\INTELLIGENCE_UPGRADE.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\JARVIS_ARCHITECTURE.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\JARVIS_COMPLETION_PLAN_v3.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\JARVIS_INFRA_ROADMAP.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\JARVIS_LOCALFIRST_ROADMAP.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\JARVIS_MASTER.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\JARVIS_OS_COMPLETION_INSTRUCTION.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\JARVIS_STATUS.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\JARVIS_V44_ROADMAP.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\jarvis_vision.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\JAVIS_RESEARCH_OS.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\MATURITY_M1.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\MATURITY_M2.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\MATURITY_M3.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\MATURITY_M4.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\MATURITY_M5.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\MATURITY_M6.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\MATURITY_M7.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\OPERATIONS_GUIDE.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\QA.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\QUALITY_BAR.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\QUALITY_BAR_PHASE2.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\QUICKSTART.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\RELEASE.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\RELEASE_CHECKLIST.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\RELEASE_NOTES_v4.3.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\RELEASE_NOTES_v5.1.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\RepairPolicy.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\REPAIR_ACTIONS.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\REPAIR_POLICY.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\RUNBOOK.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\SETUP_UV.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\SOURCE_OF_TRUTH.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\STATE_BASELINE.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\STATUS.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\TECH_DEBT.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\TROUBLESHOOTING.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\troubleshooting_guide.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\user_guide.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\WORKFLOW_TUNING.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\api\README.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\ops\dod.md:1 [NONE] 'MISSING_AUTHORITY_HEADER'
  C:\Users\kaneko yu\Documents\jarvis-work\jarvis-ml-pipeline\docs\PLANS\NEXT_PHASE.md:22 [ROADMAP] '‹ÖŽ~'
